Id,Course,RaceDate,RaceTime,Race,Type,Class,AgeLimit,Prize,Ran,Distance,Yards,Going,Limit,WinTime,Seconds,FPos,DstBtn,TotalBtn,CardNo,HorseName,Draw,Sp,Age,Stone,Lbs,WeightLBS,Favs,Aid,Trainer,Jockey,Allow,OR,Comments
43903101,Cheltenham,13-Mar-20,13:30,JCB Triumph Hurdle (Grade 1),h,1,4YO only,"73,506",13,2m 179y,3699,Soft (Good to Soft in places),,4m 6.28s,246.28,1,,0,12,Burning Victory (FR),,12,4,10,7,147,,,W P Mullins,P Townend,,0,held up behind headway on outside after 2 out stayed on into 2nd and 10 lengths down when left in narrow lead last ridden out flat stayed on well towards finish
43903101,Cheltenham,13-Mar-20,13:30,JCB Triumph Hurdle (Grade 1),h,1,4YO only,"73,506",13,2m 179y,3699,Soft (Good to Soft in places),,4m 6.28s,246.28,2,2¾,2.75,2,Aspire Tower,,5,4,11,0,154,,,H de Bromhead,Rachael Blackmore,,152,went left 1st raced keenly tracked leader to 5th remained close up in 3rd switched wide after 3 out outpaced by front pair after next ridden and one pace when left with every chance and went left last stayed on to take 2nd near finish
43903101,Cheltenham,13-Mar-20,13:30,JCB Triumph Hurdle (Grade 1),h,1,4YO only,"73,506",13,2m 179y,3699,Soft (Good to Soft in places),,4m 6.28s,246.28,3,¾,3.5,1,Allmankind,,3.5,4,11,0,154,2Fav,t   h,D Skelton,Harry Skelton,,148,led joined before 2 out ridden and headed turning in readily outpaced by leader and 10 lengths down when left with every chance last edged right and kept on flat no extra when lost 2nd near finish
43903101,Cheltenham,13-Mar-20,13:30,JCB Triumph Hurdle (Grade 1),h,1,4YO only,"73,506",13,2m 179y,3699,Soft (Good to Soft in places),,4m 6.28s,246.28,4,¾,4.25,7,Navajo Pass,,50,4,11,0,154,,,D McCain Jnr,B S Hughes,,139,chased leaders on inside outpaced 2 out soon ridden rallied into 4th after last kept on not reach leaders
43903101,Cheltenham,13-Mar-20,13:30,JCB Triumph Hurdle (Grade 1),h,1,4YO only,"73,506",13,2m 179y,3699,Soft (Good to Soft in places),,4m 6.28s,246.28,5,½,4.75,9,Sir Psycho,,16,4,11,0,154,,p,P F Nicholls,Bryony Frost,,147,in touch driven after 2 out no impression when left disputing 4th at last ridden and kept on flat not reach leaders
43903101,Cheltenham,13-Mar-20,13:30,JCB Triumph Hurdle (Grade 1),h,1,4YO only,"73,506",13,2m 179y,3699,Soft (Good to Soft in places),,4m 6.28s,246.28,6,1¼,6,4,Cerberus,,20,4,11,0,154,,t,Joseph P OBrien,M P Walsh,,140,held up behind blundered 5th headway under pressure between last 2 soon ridden kept on flat never reached leaders
43903101,Cheltenham,13-Mar-20,13:30,JCB Triumph Hurdle (Grade 1),h,1,4YO only,"73,506",13,2m 179y,3699,Soft (Good to Soft in places),,4m 6.28s,246.28,7,nk,6.2,3,A Wave Of The Sea,,12,4,11,0,154,,,Joseph P OBrien,B J Geraghty,,142,middivision pushed along to chase leaders after 3 out ridden and outpaced after next kept on under pressure flat no impression
43903101,Cheltenham,13-Mar-20,13:30,JCB Triumph Hurdle (Grade 1),h,1,4YO only,"73,506",13,2m 179y,3699,Soft (Good to Soft in places),,4m 6.28s,246.28,8,4,10.2,10,Solo (FR),,4,4,11,0,154,,,P F Nicholls,H Cobden,,157,tracked leaders driven after 2 out ridden and one pace before last weakened flat
43903101,Cheltenham,13-Mar-20,13:30,JCB Triumph Hurdle (Grade 1),h,1,4YO only,"73,506",13,2m 179y,3699,Soft (Good to Soft in places),,4m 6.28s,246.28,9,1½,11.7,8,Never Do Nothing,,100,4,11,0,154,,,J C McConnell,D J McInerney,,0,middivision outpaced 2 out ridden before last weakened flat
43903101,Cheltenham,13-Mar-20,13:30,JCB Triumph Hurdle (Grade 1),h,1,4YO only,"73,506",13,2m 179y,3699,Soft (Good to Soft in places),,4m 6.28s,246.28,10,6,17.7,6,Lord Lamington,,100,4,11,0,154,,,A King,Tom Cannon,,135,always behind outpaced after 2 out weakened before last
